# parameters
#\ V=780


# columns: V(in V)  N(in counts)

#! d[f,0]/    t[f,1]/ N[f,1]/
10.0   20   227
15.0   30   209
22.0   65   202
26.0   90   200
29.0  119   202
32.0  130   199
