# parameters
#\ V=300
#\ dV=1.0
#\ dI=0.01

# columns: I  D  dD
# I in A, D and dD in cm

#! I[f,0]/    D[f,1]/ dD[f,2]/
2.79 5.0 0.12
2.49 5.5 0.20
2.35 6.0 0.20
2.15 6.5 0.25
2.03 7.0 0.25
1.88 7.5 0.30
1.78 8.0 0.30
1.67 8.5 0.40
1.59 9.0 0.40
1.51 9.5 0.50

